freqs,amp,phase
50,9.2,-173.0
53,9.2,-173.0
56,9.1,-173.0
59,9.2,-175.0
62,9.2,-175.0
65,9.2,-175.0
68,9.2,-175.0
71,9.2,-175.0
74,9.2,-175.0
77,9.2,-175.0
80,9.2,-175.0
83,9.2,-175.0
86,9.2,-177.0
89,9.2,-177.0
92,9.2,-176.0
95,9.2,-176.0
98,9.2,-176.0
100,9.2,-176.0
117,9.2,-176.0
138,9.2,-176.0
163,9.2,-176.0
193,9.2,183.0
227,9.2,182.0
268,9.2,182.0
316,9.2,182.0
372,9.2,182.0
439,9.2,182.0
517,9.2,182.0
610,9.2,182.0
719,9.2,180.0
848,9.2,182.0
1000,9.2,180.0
1000,9.2,180.0
1178,9.2,180.0
1389,9.2,180.0
1637,9.2,180.0
1930,9.2,180.0
2275,9.2,180.0
2682,9.1,180.0
3162,9.1,180.0
3727,9.1,180.0
4393,9.1,180.0
5179,9.1,180.0
6105,9.1,180.0
7196,9.1,180.0
8483,9.1,180.0
10000,9.1,178.0
10000,9.1,178.0
11787,9.1,180.0
13894,9.1,180.0
16378,9.1,180.0
19306,9.1,180.0
22758,9.1,180.0
26826,9.1,180.0
31622,9.1,178.0
37275,9.1,180.0
43939,9.1,184.0
51794,9.1,180.0
61054,9.2,178.0
71968,9.2,178.0
84834,9.2,176.0
100000,9.2,180.0
100000,9.1,180.0
117876,9.1,180.0
138949,9.1,175.0
163789,9.1,178.0
193069,9.1,175.0
227584,9.1,176.0
268269,9.0,172.0
316227,9.1,172.0
372759,9.0,176.0
439397,9.0,175.0
517947,9.0,167.0
610540,8.9,171.0
719685,8.9,163.0
848342,8.8,169.0
1000000,8.7,166.0
1000000,8.7,160.0
1133333,8.6,166.0
1266666,8.4,166.0
1399999,8.4,157.0
1533332,8.4,161.0
1666665,8.2,148.0
1799998,8.1,151.0
1933331,8.0,146.0
2066664,7.8,156.0
2199997,7.8,146.0
2333330,7.6,146.0
2466663,7.5,139.0
2599996,7.4,-213.0
2733329,7.1,142.0
2866662,7.0,145.0
2999995,7.3,133.0
