freqs,amp,phase
50,15.9,-175.0
53,15.9,-176.0
56,15.9,-176.0
59,15.8,-176.0
62,15.9,-176.0
65,15.9,-176.0
68,15.9,-176.0
71,15.9,-176.0
74,15.9,-176.0
77,15.9,-176.0
80,15.9,183.0
83,15.9,183.0
86,15.9,182.0
89,15.9,-176.0
92,15.9,182.0
95,15.9,182.0
98,15.9,182.0
100,15.9,182.0
117,15.9,182.0
138,15.9,182.0
163,15.9,182.0
193,15.9,182.0
227,15.9,182.0
268,15.9,182.0
316,15.9,182.0
372,15.9,182.0
439,15.9,182.0
517,15.9,182.0
610,15.9,180.0
719,15.9,181.0
848,15.9,181.0
1000,15.9,180.0
1000,15.9,181.0
1178,15.9,181.0
1389,15.9,180.0
1637,15.9,180.0
1930,15.8,180.0
2275,15.9,180.0
2682,15.9,180.0
3162,15.8,180.0
3727,15.9,182.0
4393,15.9,180.0
5179,15.8,180.0
6105,15.9,182.0
7196,15.9,180.0
8483,15.8,181.0
10000,15.9,180.0
10000,15.8,180.0
11787,15.8,180.0
13894,15.9,181.0
16378,15.8,180.0
19306,15.9,178.0
22758,15.9,183.0
26826,15.9,178.0
31622,15.8,182.0
37275,15.9,178.0
43939,15.9,179.0
51794,15.9,178.0
61054,15.8,181.0
71968,15.8,177.0
84834,15.8,175.0
100000,15.8,173.0
100000,15.8,175.0
117876,15.8,176.0
138949,15.8,178.0
163789,15.8,180.0
193069,15.7,175.0
227584,15.7,172.0
268269,15.7,170.0
316227,15.6,178.0
372759,15.6,165.0
439397,15.6,166.0
517947,15.4,171.0
610540,15.3,160.0
719685,15.2,158.0
848342,14.9,158.0
1000000,14.6,149.0
1000000,14.6,151.0
1133333,14.3,141.0
1266666,14.0,148.0
1399999,13.6,149.0
1533332,13.4,140.0
1666665,13.1,132.0
1799998,12.8,144.0
1933331,12.4,134.0
2066664,12.2,128.0
2199997,11.9,130.0
2333330,11.6,118.0
2466663,11.2,129.0
2599996,11.0,127.0
2733329,11.0,121.0
2866662,10.4,116.0
2999995,10.0,115.0
