freqs,amp,phase
50,9.0,-173.0
53,9.0,-173.0
56,9.0,-173.0
59,9.0,-173.0
62,9.0,-173.0
65,9.0,-173.0
68,9.0,-175.0
71,9.0,-175.0
74,9.0,-175.0
77,9.0,-175.0
80,9.0,-175.0
83,9.0,-175.0
86,9.0,-175.0
89,9.0,-175.0
92,9.0,-175.0
95,9.0,-175.0
98,9.0,-175.0
100,9.0,-177.0
117,9.0,184.0
138,9.0,184.0
163,9.0,184.0
193,9.0,184.0
227,9.0,182.0
268,9.0,182.0
316,9.0,182.0
372,9.0,182.0
439,9.0,182.0
517,9.0,182.0
610,9.0,182.0
719,9.0,182.0
848,9.0,182.0
1000,9.0,182.0
1000,9.0,181.0
1178,9.0,180.0
1389,9.0,180.0
1637,9.0,180.0
1930,9.0,180.0
2275,9.0,180.0
2682,9.0,180.0
3162,9.0,182.0
3727,9.0,182.0
4393,9.0,182.0
5179,9.0,182.0
6105,9.0,182.0
7196,9.0,182.0
8483,9.0,182.0
10000,9.0,182.0
10000,9.0,182.0
11787,9.0,182.0
13894,9.0,182.0
16378,9.0,182.0
19306,9.0,182.0
22758,9.0,182.0
26826,9.0,182.0
31622,9.0,180.0
37275,9.0,181.0
43939,9.0,181.0
51794,9.0,180.0
61054,9.0,180.0
71968,9.0,180.0
84834,9.0,180.0
100000,9.0,180.0
100000,9.0,180.0
117876,9.0,180.0
138949,9.0,180.0
163789,9.0,176.0
193069,9.0,178.0
227584,9.0,176.0
268269,9.0,173.0
316227,9.0,175.0
372759,8.9,175.0
439397,8.9,173.0
517947,8.9,173.0
610540,8.8,169.0
719685,8.8,169.0
848342,8.8,167.0
1000000,8.7,163.0
1000000,8.7,157.0
1033333,8.7,166.0
1066666,8.7,160.0
1099999,8.6,160.0
1133332,8.6,163.0
1166665,8.6,162.0
1199998,8.5,164.0
1233331,8.5,158.0
1266664,8.5,157.0
1299997,8.5,158.0
1333330,8.4,159.0
1366663,8.4,160.0
1399996,8.5,155.0
1433329,8.4,158.0
1466662,8.3,158.0
1499995,8.3,157.0
